Designator,Val,Package,Mid X, Mid Y,Rotation,Layer
"C1","0.1u","C_0603_1608Metric",140.725000,-112.410000,0.000000,top
"C2","1u","C_0603_1608Metric",140.725000,-114.410000,0.000000,top
"C3","4.7u","C_0603_1608Metric",141.000000,-103.910000,180.000000,top
"J1","Conn_01x06","JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical",158.100000,-105.410000,-90.000000,top
"R1","39","R_0603_1608Metric",157.000000,-97.710000,-90.000000,top
"R2","10k","R_0603_1608Metric",157.000000,-114.410000,-90.000000,top
"U2","TLV70018DDCR","SOT-23-5",141.362500,-117.410000,0.000000,top
